uri,name,value,rank,major
nyt://article/f586fc83-d662-569a-9105-9db90693f42c,subject,Economics (Theory and Philosophy),1,N
nyt://article/f586fc83-d662-569a-9105-9db90693f42c,subject,internal-sub-only-nl,2,N
nyt://article/f586fc83-d662-569a-9105-9db90693f42c,subject,Social Security (US),3,N
nyt://article/f586fc83-d662-569a-9105-9db90693f42c,subject,Pensions and Retirement Plans,4,N
nyt://article/f586fc83-d662-569a-9105-9db90693f42c,subject,Payroll Tax,5,N
nyt://article/f586fc83-d662-569a-9105-9db90693f42c,subject,Retirement,6,N
nyt://article/e26af308-d140-5d47-9214-24a2a26ec94c,subject,Corporate Social Responsibility,1,N
nyt://article/e26af308-d140-5d47-9214-24a2a26ec94c,subject,Bankruptcies,2,N
nyt://article/e26af308-d140-5d47-9214-24a2a26ec94c,subject,Virtual Currency,3,N
nyt://article/e26af308-d140-5d47-9214-24a2a26ec94c,subject,Computers and the Internet,4,N
nyt://article/e26af308-d140-5d47-9214-24a2a26ec94c,organizations,HK FTX Trading Ltd (Futures Exchange),5,N
nyt://article/e26af308-d140-5d47-9214-24a2a26ec94c,persons,"Singh, Nishad",6,N
nyt://article/e26af308-d140-5d47-9214-24a2a26ec94c,persons,"Bankman-Fried, Sam",7,N
nyt://article/5b030b39-59eb-51da-86d8-006af71d3b55,subject,Documentary Films and Programs,1,N
nyt://article/5b030b39-59eb-51da-86d8-006af71d3b55,subject,International Relations,2,N
nyt://article/5b030b39-59eb-51da-86d8-006af71d3b55,subject,Writing and Writers,3,N
nyt://article/5b030b39-59eb-51da-86d8-006af71d3b55,subject,Content Type: Personal Profile,4,N
nyt://article/5b030b39-59eb-51da-86d8-006af71d3b55,subject,Russian Invasion of Ukraine (2022),5,N
nyt://article/5b030b39-59eb-51da-86d8-006af71d3b55,persons,"Levy, Bernard-Henri",6,N
nyt://article/5b030b39-59eb-51da-86d8-006af71d3b55,glocations,Ukraine,7,N
nyt://article/5b030b39-59eb-51da-86d8-006af71d3b55,glocations,France,8,N
nyt://article/5b030b39-59eb-51da-86d8-006af71d3b55,creative_works,Slava Ukraini (Movie),9,N
nyt://article/b6fea8c5-9287-5765-b74e-6d3c05936c61,subject,Book Trade and Publishing,1,N
